"","obsTime","Values","geo","Country"
"348","2017",95.0597693274717,"JP","Japan"
"349","2018",94.9243103525347,"JP","Japan"
"350","2019",94.924310352561,"JP","Japan"
"351","1959",10.441651632654,"FI","Finland"
"352","1960",11.1242783092729,"FI","Finland"
"353","1961",11.6046443224246,"FI","Finland"
"354","1962",12.1945680275801,"FI","Finland"
"355","1963",12.9698950972165,"FI","Finland"
"356","1964",13.6525204845257,"FI","Finland"
"357","1965",14.1076040760653,"FI","Finland"
"358","1966",14.6890997763657,"FI","Finland"
"359","1967",15.0808961066025,"FI","Finland"
"360","1968",16.1984625841813,"FI","Finland"
"361","1969",16.7886458328556,"FI","Finland"
"362","1970",17.4039299819268,"FI","Finland"
"363","1971",18.7977528547896,"FI","Finland"
"364","1972",19.5869790464486,"FI","Finland"
"365","1973",22.6566229945394,"FI","Finland"
"366","1974",28.1672992526671,"FI","Finland"
"367","1975",31.6859665266978,"FI","Finland"
"368","1976",33.4150943732711,"FI","Finland"
"369","1977",35.8338568791372,"FI","Finland"
"370","1978",38.0951352786309,"FI","Finland"
"371","1979",40.5386165346721,"FI","Finland"
"372","1980",43.8842238962102,"FI","Finland"
"373","1981",50.6005649963646,"FI","Finland"
"374","1982",56.5952345103052,"FI","Finland"
"375","1983",60.2839363409067,"FI","Finland"
"376","1984",63.8714639003068,"FI","Finland"
"377","1985",65.7022373366883,"FI","Finland"
"378","1986",65.9705704840418,"FI","Finland"
"379","1987",66.8960332297453,"FI","Finland"
"380","1988",72.2352259450448,"FI","Finland"
"381","1989",83.4820407229469,"FI","Finland"
"382","1990",90.6152822383202,"FI","Finland"
"383","1991",92.2471910684871,"FI","Finland"
"384","1992",92.3619730721668,"FI","Finland"
"385","1993",88.3112698902823,"FI","Finland"
"386","1994",87.3068963083781,"FI","Finland"
"387","1995",88.9038957157904,"FI","Finland"
"388","1996",89.1328323598695,"FI","Finland"
"389","1997",91.1303060921371,"FI","Finland"
"390","1998",93.1774243227916,"FI","Finland"
"391","1999",94.331750467115,"FI","Finland"
"392","2000",100,"FI","Finland"
"393","2001",103.560321648199,"FI","Finland"
"394","2002",103.065271512637,"FI","Finland"
"395","2003",102.523557650418,"FI","Finland"
"396","2004",103.43281085755,"FI","Finland"
"397","2005",106.327350389462,"FI","Finland"
"398","2006",111.041746599755,"FI","Finland"
"399","2007",117.780144136873,"FI","Finland"
"400","2008",122.849003785326,"FI","Finland"
"401","2009",118.547565473798,"FI","Finland"
"402","2010",118.352531873506,"FI","Finland"
"403","2011",122.308697862888,"FI","Finland"
"404","2012",126.811287234058,"FI","Finland"
"405","2013",130.510017271962,"FI","Finland"
"406","2014",134.561856381647,"FI","Finland"
"407","2015",138.589496553472,"FI","Finland"
"408","2016",141.765686840555,"FI","Finland"
"409","2017",144.668104121174,"FI","Finland"
"410","2018",147.396132435229,"FI","Finland"
"411","2019",150.35980934068,"FI","Finland"
"412","1995",63.6875684316371,"SK","Slovakia"
"413","1996",65.4364026812594,"SK","Slovakia"
"414","1997",69.9694288943062,"SK","Slovakia"
"415","1998",72.9950054937015,"SK","Slovakia"
"416","1999",79.5290000768852,"SK","Slovakia"
"417","2000",100,"SK","Slovakia"
"418","2001",122.761653460219,"SK","Slovakia"
"419","2002",128.193119249729,"SK","Slovakia"
"420","2003",165.841002327982,"SK","Slovakia"
"421","2004",208.385827135509,"SK","Slovakia"
"422","2005",220.248446521016,"SK","Slovakia"
"423","2006",225.42471721842,"SK","Slovakia"
"424","2007",234.441702236605,"SK","Slovakia"
"425","2008",240.604322218576,"SK","Slovakia"
"426","2009",253.636621826292,"SK","Slovakia"
"427","2010",257.852702473028,"SK","Slovakia"
"428","2011",259.79924836282,"SK","Slovakia"
"429","2012",261.501374850942,"SK","Slovakia"
"430","2013",262.156116026919,"SK","Slovakia"
"431","2014",262.182249042593,"SK","Slovakia"
"432","2015",262.182249042593,"SK","Slovakia"
"433","2016",262.828200558672,"SK","Slovakia"
"434","2017",263.631264787489,"SK","Slovakia"
"435","2018",264.399393231622,"SK","Slovakia"
"436","2019",265.909497440387,"SK","Slovakia"
"437","1960",11.9568843344779,"NL","Netherlands"
"438","1961",11.9568843346353,"NL","Netherlands"
"439","1962",12.289020255755,"NL","Netherlands"
"440","1963",13.0144748471011,"NL","Netherlands"
"441","1964",13.6700049829543,"NL","Netherlands"
"442","1965",14.2758907456705,"NL","Netherlands"
"443","1966",15.3803304337186,"NL","Netherlands"
"444","1967",16.0370878371903,"NL","Netherlands"
"445","1968",17.229016328807,"NL","Netherlands"
"446","1969",18.4288948363821,"NL","Netherlands"
"447","1970",19.4116139307222,"NL","Netherlands"
"448","1971",21.2519966393146,"NL","Netherlands"
"449","1972",23.1753376356714,"NL","Netherlands"
"450","1973",25.3598335292266,"NL","Netherlands"
"451","1974",27.4767414111275,"NL","Netherlands"
"452","1975",29.4891770333414,"NL","Netherlands"
"453","1976",32.9041852997583,"NL","Netherlands"
"454","1977",35.3648973424014,"NL","Netherlands"
"455","1978",37.4639811487271,"NL","Netherlands"
"456","1979",40.2316278195194,"NL","Netherlands"
"457","1980",43.0263030730259,"NL","Netherlands"
"458","1981",46.3519040105052,"NL","Netherlands"
"459","1982",50.3632664818658,"NL","Netherlands"
"460","1983",53.4012136952393,"NL","Netherlands"
"461","1984",56.0119238871959,"NL","Netherlands"
"462","1985",57.9556126569287,"NL","Netherlands"
"463","1986",59.430018716958,"NL","Netherlands"
"464","1987",60.7052807400354,"NL","Netherlands"
"465","1988",62.2268976074655,"NL","Netherlands"
"466","1989",64.0238587342181,"NL","Netherlands"
"467","1990",65.9270800465049,"NL","Netherlands"
"468","1991",68.6520703382892,"NL","Netherlands"
"469","1992",72.354971454697,"NL","Netherlands"
"470","1993",76.228189062916,"NL","Netherlands"
"471","1994",80.0464702582222,"NL","Netherlands"
"472","1995",84.1064819711525,"NL","Netherlands"
"473","1996",87.6340083382968,"NL","Netherlands"
"474","1997",91.0735556879095,"NL","Netherlands"
"475","1998",94.334425253127,"NL","Netherlands"
"476","1999",97.3198332340679,"NL","Netherlands"
"477","2000",100,"NL","Netherlands"
"478","2001",102.635497319833,"NL","Netherlands"
"479","2002",105.524121500893,"NL","Netherlands"
"480","2003",108.755211435378,"NL","Netherlands"
"481","2004",112.164979154258,"NL","Netherlands"
"482","2005",115.001488981537,"NL","Netherlands"
"483","2006",117.726325193568,"NL","Netherlands"
"484","2007",120.108695652174,"NL","Netherlands"
"485","2008",122.089041095891,"NL","Netherlands"
"486","2009",124.992555092317,"NL","Netherlands"
"487","2010",127.76950565813,"NL","Netherlands"
"488","2011",129.958308516975,"NL","Netherlands"
